Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,MA50,MA200
2019-06-17,11916.4,11916.45,11729.0,11743.0,500376784.0,199850100000.0,30.06,3.74,1.21,11796.534000000001,11279.6675
2019-06-18,11748.45,11797.45,11711.85,11761.65,557132144.0,205797700000.0,30.1,3.75,1.21,11794.538999999999,11279.165249999998
2019-06-19,11814.05,11869.8,11686.95,11753.05,664908409.0,227427000000.0,30.08,3.75,1.21,11793.708,11278.523500000001
2019-06-20,11718.15,11913.1,11695.15,11901.15,650015464.0,227945700000.0,30.45,3.79,1.2,11796.661,11278.748249999999
2019-06-21,11893.6,11893.95,11783.85,11802.45,717435942.0,285236100000.0,30.2,3.76,1.21,11796.308,11277.81375
2019-06-24,11807.05,11833.85,11754.15,11782.95,451400585.0,160842800000.0,30.15,3.76,1.21,11796.765,11276.587
2019-06-25,11762.4,11888.15,11732.65,11871.9,493749317.0,198018900000.0,30.38,3.78,1.2,11797.69,11275.953499999998
2019-06-27,11941.9,11992.6,11912.1,11931.35,852288099.0,287504700000.0,30.33,3.8,1.19,11801.439000000002,11275.654499999999
2019-06-28,11951.4,11961.5,11867.9,11882.1,494739651.0,192456200000.0,30.43,3.75,1.2,11803.881000000001,11275.0495
2019-07-01,11932.85,11974.75,11925.7,11957.5,435729215.0,160023600000.0,30.62,3.77,1.19,11806.874000000002,11275.31525
2019-07-02,11983.45,12008.2,11910.7,12001.6,500301904.0,163107000000.0,30.73,3.78,1.19,11809.777,11276.328500000001
2019-07-03,12025.2,12039.2,11981.45,12015.2,529062743.0,179069800000.0,30.77,3.79,1.19,11811.08,11277.649249999999
2019-07-04,12027.0,12066.75,12022.9,12044.8,621656629.0,191730700000.0,30.85,3.8,1.18,11813.708999999999,11278.79625
2019-07-05,12063.9,12081.7,11888.6,11904.05,800017085.0,244463400000.0,30.48,3.75,1.2,11816.872000000001,11278.917
2019-07-08,11858.7,11860.05,11613.8,11650.35,676971875.0,230212700000.0,29.84,3.67,1.22,11815.326000000001,11278.579
2019-07-09,11626.45,11679.5,11553.45,11655.85,601945562.0,251984000000.0,29.85,3.67,1.22,11811.052,11279.082250000001
2019-07-10,11635.5,11688.0,11570.45,11593.8,517327104.0,208920500000.0,29.62,3.66,1.23,11807.18,11278.87525
2019-07-11,11655.4,11692.8,11613.05,11678.6,515459796.0,195686400000.0,29.83,3.68,1.22,11803.018,11278.30975
2019-07-12,11697.1,11738.85,11641.45,11654.85,522356896.0,207561900000.0,29.77,3.65,1.25,11798.63,11278.301500000001
2019-07-15,11712.65,11716.95,11634.65,11692.65,514667482.0,195833000000.0,29.77,3.67,1.25,11795.571000000002,11279.034
2019-07-16,11698.55,11778.55,11677.15,11773.15,659503243.0,203353300000.00003,29.98,3.69,1.24,11794.473,11280.4005
2019-07-17,11780.6,11819.45,11762.7,11798.45,648150183.0,197423900000.0,30.04,3.7,1.24,11796.265,11282.455
2019-07-18,11787.0,11787.55,11688.25,11701.4,690348502.0,210300400000.0,29.79,3.67,1.25,11798.091,11285.03425
2019-07-19,11736.75,11750.45,11498.95,11519.25,708959465.0,238340200000.0,29.33,3.61,1.27,11799.06,11286.1925
2019-07-22,11493.8,11498.0,11397.8,11456.25,705728307.0,237408500000.0,29.19,3.6,1.27,11799.867,11287.07625
2019-07-23,11480.85,11498.95,11408.25,11436.55,677175001.0,235129900000.00003,29.13,3.59,1.27,11800.760999999999,11288.325499999999
2019-07-24,11429.55,11465.5,11322.8,11360.15,708854870.0,240196400000.0,28.93,3.57,1.28,11802.966999999999,11289.49425
2019-07-25,11381.75,11456.65,11339.45,11352.35,789190281.0,296975500000.0,28.85,3.57,1.28,11803.653999999999,11290.27075
2019-07-26,11350.35,11416.05,11312.75,11394.7,776989626.0,243461200000.0,29.04,3.58,1.28,11806.471000000001,11292.015249999999
2019-07-29,11413.85,11416.35,11252.95,11290.9,1287644420.0,226526800000.0,29.11,3.55,1.29,11805.457000000002,11294.498249999999
2019-07-30,11313.0,11367.5,11167.1,11179.55,1027842998.0,251770900000.0,28.82,3.51,1.3,11799.330999999998,11297.845750000002
2019-07-31,11129.45,11245.55,11089.2,11221.2,863147144.0,277799600000.0,28.83,3.49,1.3,11785.676000000001,11301.33275
2019-08-01,11164.05,11186.8,10981.95,11080.9,803068344.0,252456700000.0,28.44,3.45,1.32,11771.567999999997,11304.369499999999
2019-08-02,11030.05,11180.8,10944.4,11100.45,1005932582.0,293268200000.0,28.49,3.46,1.32,11757.351,11306.58275
2019-08-05,11001.6,11004.4,10887.45,10970.05,791957616.0,246414900000.00003,28.16,3.42,1.33,11741.841999999999,11309.272749999998
2019-08-06,10923.0,11122.4,10921.45,11058.9,826578515.0,258809000000.0,28.39,3.44,1.32,11724.127,11311.210750000002
2019-08-07,11070.05,11090.4,10951.3,10970.55,879003009.0,254076400000.0,28.17,3.42,1.33,11703.063,11312.5005
2019-08-08,11017.0,11169.85,10960.75,11144.15,863782500.0,260953400000.0,28.69,3.47,1.31,11685.284000000001,11314.240749999999
2019-08-09,11198.95,11296.6,11175.9,11222.2,887924510.0,260469000000.0,28.91,3.5,1.3,11670.481000000002,11317.10825
2019-08-13,11248.0,11253.2,11004.9,11027.4,1034564056.0,294668400000.0,28.48,3.43,1.33,11650.265,11319.725
2019-08-14,11096.7,11178.2,11036.1,11133.75,868086016.0,255065700000.0,28.72,3.47,1.31,11632.375,11323.164499999999
2019-08-16,11141.95,11172.8,11029.1,11154.55,895118491.0,233329400000.0,28.82,3.47,1.31,11611.649,11327.2295
2019-08-19,11200.25,11251.45,11144.0,11158.95,645261155.0,180279400000.0,28.83,3.48,1.31,11592.376,11330.947250000001
2019-08-20,11169.0,11179.35,11083.9,11115.6,774295643.0,209320500000.0,28.72,3.46,1.31,11576.028999999999,11334.98675
2019-08-21,11119.05,11131.15,11000.75,11012.0,868735164.0,208960800000.00003,28.45,3.43,1.33,11557.128,11338.920250000001
2019-08-22,10999.1,11001.8,10815.45,10836.85,1109590806.0,238785900000.0,28.0,3.38,1.35,11533.728000000001,11340.8405
2019-08-23,10797.25,10958.95,10730.9,10925.9,1072172091.0,257295600000.0,28.23,3.4,1.34,11511.173999999999,11343.402
2019-08-26,11098.75,11164.05,10852.45,11152.65,1147522062.0,275698000000.0,28.81,3.47,1.31,11494.443000000001,11346.14225
2019-08-27,11201.8,11249.35,11154.5,11213.7,1202290996.0,376813100000.0,28.97,3.49,1.3,11478.813,11349.172750000002
